id,client_order_id,bitunix_order_id,symbol,side,type,quantity,price,leverage,status,reduce_only,raw_response,created_at,updated_at,strategy_name,entry_context
752,bt-aac9d4195dc8415c8c754eec,2056269934292152320,EVAAUSDT,SELL,MARKET,21.900000000000,,50,NEW,false,"{""code"": 0, ""data"": {""orderId"": ""2056269934292152320"", ""clientId"": ""bt-aac9d4195dc8415c8c754eec""}, ""msg"": ""Success"", ""positionTpSl"": {""code"": 0, ""data"": {""orderId"": ""696530017762456561"", ""clientId"": null}, ""msg"": ""Success""}, ""tpsl_mode"": ""position_full""}",2026-05-18 07:04:02.076850 +00:00,2026-05-18 07:34:14.230918 +00:00,top_signal_entries,"{""strategy"": ""top_signal_entries"", ""signal_reason"": ""short_breakdown_confirm"", ""change_pct_24h"": ""-6.614626129827444535743631882"", ""tp_source"": ""walk_forward_recommendation"", ""tp_move_pct"": ""1.4522"", ""sl_move_pct"": ""1.4522"", ""hold_window_optimization_enabled"": true, ""hold_profit_threshold_pct"": ""15"", ""hold_window_minutes"": 30, ""walk_forward"": {""gate_source"": ""grid_meets_target"", ""prediction_reason"": ""clean_legs_down_majority"", ""target_tp_win_rate_pct"": ""80.00"", ""variation"": {""rank"": 7, ""label"": ""TP\u00d70.5 med, SL\u00d70.5 med"", ""resolved_tp_win_rate_pct"": ""80.00"", ""meets_target"": true, ""meets_min_tpsl_pct_profile"": false, ""trades_entered_last_48h_count"": 10, ""resolved_count"": 10, ""tp_median_multiplier"": ""0.5"", ""sl_median_multiplier"": ""0.5"", ""target_tp_win_rate_pct"": ""80.00""}}, ""hold_time_exit_done"": true, ""hold_time_exit_reason"": ""time_exit_placed""}"
743,bt-c748afbd09f544faae7995f7,2056269556330852352,IRYSUSDT,SELL,MARKET,104.849200000000,,20,NEW,false,"{""code"": 0, ""data"": {""orderId"": ""2056269556330852352"", ""clientId"": ""bt-c748afbd09f544faae7995f7""}, ""msg"": ""Success"", ""positionTpSl"": {""code"": 0, ""data"": {""orderId"": ""7871496574208069013"", ""clientId"": null}, ""msg"": ""Success""}, ""tpsl_mode"": ""position_full""}",2026-05-18 07:02:57.146767 +00:00,2026-05-18 09:10:59.020984 +00:00,top_signal_entries,"{""strategy"": ""top_signal_entries"", ""signal_reason"": ""short_breakdown_confirm"", ""change_pct_24h"": ""-19.65037910699241786015164280"", ""tp_source"": ""walk_forward_recommendation"", ""tp_move_pct"": ""3.4023"", ""sl_move_pct"": ""2.9487"", ""hold_window_optimization_enabled"": true, ""hold_profit_threshold_pct"": ""15"", ""hold_window_minutes"": 30, ""walk_forward"": {""gate_source"": ""grid_meets_target"", ""prediction_reason"": ""clean_legs_down_majority"", ""target_tp_win_rate_pct"": ""80.00"", ""variation"": {""rank"": 0, ""label"": ""TP\u00d70.75 med, SL\u00d70.65 med"", ""resolved_tp_win_rate_pct"": ""87.50"", ""meets_target"": true, ""meets_min_tpsl_pct_profile"": false, ""trades_entered_last_48h_count"": 8, ""resolved_count"": 8, ""tp_median_multiplier"": ""0.75"", ""sl_median_multiplier"": ""0.65"", ""target_tp_win_rate_pct"": ""80.00""}}, ""hold_time_exit_done"": true, ""hold_time_exit_reason"": ""position_not_on_exchange""}"
599,bt-7ddc2ce579c64670b1338948,2056254131157110784,1000CHEEMSUSDT,SELL,MARKET,26091.494100000000,,75,NEW,true,"{""code"": 0, ""data"": {""orderId"": ""2056254131157110784"", ""clientId"": ""bt-7ddc2ce579c64670b1338948""}, ""msg"": ""Success""}",2026-05-18 06:02:40.613425 +00:00,2026-05-18 06:02:40.613425 +00:00,top_signal_entries,"{""hold_time_exit"": true, ""hold_window_minutes"": 55, ""source_open_client_order_id"": ""bt-ce63aec2d45b473e805f6272""}"
598,bt-2c1b6864b9704407810f2733,2056254085250453504,1000CHEEMSUSDT,SELL,MARKET,26389.866200000000,,75,NEW,false,"{""code"": 0, ""data"": {""orderId"": ""2056254085250453504"", ""clientId"": ""bt-2c1b6864b9704407810f2733""}, ""msg"": ""Success"", ""positionTpSl"": {""code"": 0, ""data"": {""orderId"": ""72846226178540649"", ""clientId"": null}, ""msg"": ""Success""}, ""tpsl_mode"": ""position_full""}",2026-05-18 06:02:25.172108 +00:00,2026-05-18 09:09:38.010725 +00:00,top_signal_entries,"{""strategy"": ""top_signal_entries"", ""signal_reason"": ""short_breakdown_confirm"", ""change_pct_24h"": ""-8.085381630012936610608020699"", ""tp_source"": ""walk_forward_recommendation"", ""tp_move_pct"": ""1.4208"", ""sl_move_pct"": ""1.4208"", ""hold_window_optimization_enabled"": true, ""hold_profit_threshold_pct"": ""15"", ""hold_window_minutes"": 50, ""walk_forward"": {""gate_source"": ""grid_meets_target"", ""prediction_reason"": ""clean_legs_down_majority"", ""target_tp_win_rate_pct"": ""80.00"", ""variation"": {""rank"": 6, ""label"": ""TP\u00d70.75 med, SL\u00d70.75 med"", ""resolved_tp_win_rate_pct"": ""87.50"", ""meets_target"": true, ""meets_min_tpsl_pct_profile"": false, ""trades_entered_last_48h_count"": 8, ""resolved_count"": 8, ""tp_median_multiplier"": ""0.75"", ""sl_median_multiplier"": ""0.75"", ""target_tp_win_rate_pct"": ""80.00""}}, ""hold_time_exit_done"": true, ""hold_time_exit_reason"": ""position_not_on_exchange""}"
597,bt-e0540b30c8074207bf17d51c,2056254051125596160,CFXUSDT,SELL,MARKET,169.721600000000,,50,NEW,false,"{""code"": 0, ""data"": {""orderId"": ""2056254051125596160"", ""clientId"": ""bt-e0540b30c8074207bf17d51c""}, ""msg"": ""Success"", ""positionTpSl"": {""code"": 0, ""data"": {""orderId"": ""2548668181473553396"", ""clientId"": null}, ""msg"": ""Success""}, ""tpsl_mode"": ""position_full""}",2026-05-18 06:00:53.619361 +00:00,2026-05-18 09:09:38.010725 +00:00,top_signal_entries,"{""strategy"": ""top_signal_entries"", ""signal_reason"": ""short_breakdown_confirm"", ""change_pct_24h"": ""-8.124122875409324808981755809"", ""tp_source"": ""walk_forward_recommendation"", ""tp_move_pct"": ""1.2064"", ""sl_move_pct"": ""1.2064"", ""hold_window_optimization_enabled"": true, ""hold_profit_threshold_pct"": ""15"", ""hold_window_minutes"": 60, ""walk_forward"": {""gate_source"": ""grid_meets_target"", ""prediction_reason"": ""clean_legs_down_majority"", ""target_tp_win_rate_pct"": ""80.00"", ""variation"": {""rank"": 6, ""label"": ""TP\u00d70.5 med, SL\u00d70.5 med"", ""resolved_tp_win_rate_pct"": ""81.82"", ""meets_target"": true, ""meets_min_tpsl_pct_profile"": false, ""trades_entered_last_48h_count"": 11, ""resolved_count"": 11, ""tp_median_multiplier"": ""0.5"", ""sl_median_multiplier"": ""0.5"", ""target_tp_win_rate_pct"": ""80.00""}}, ""hold_time_exit_done"": true, ""hold_time_exit_reason"": ""position_not_on_exchange""}"
431,bt-1b4ed88fbca14e38b4fb190b,2056229408390033408,PNUTUSDT,SELL,MARKET,260.507100000000,,75,NEW,false,"{""code"": 0, ""data"": {""orderId"": ""2056229408390033408"", ""clientId"": ""bt-1b4ed88fbca14e38b4fb190b""}, ""msg"": ""Success"", ""positionTpSl"": {""code"": 0, ""data"": {""orderId"": ""3381855648280296726"", ""clientId"": null}, ""msg"": ""Success""}, ""tpsl_mode"": ""position_full""}",2026-05-18 04:22:25.740391 +00:00,2026-05-18 09:09:38.010725 +00:00,top_signal_entries,"{""strategy"": ""top_signal_entries"", ""signal_reason"": ""short_breakdown_confirm"", ""change_pct_24h"": ""-4.304470666445072295163702842"", ""tp_source"": ""walk_forward_recommendation"", ""tp_move_pct"": ""2.0348"", ""sl_move_pct"": ""2.0348"", ""hold_window_optimization_enabled"": true, ""hold_profit_threshold_pct"": ""15"", ""hold_window_minutes"": 30, ""walk_forward"": {""gate_source"": ""grid_meets_target"", ""prediction_reason"": ""clean_legs_down_majority"", ""target_tp_win_rate_pct"": ""80.00"", ""variation"": {""rank"": 18, ""label"": ""TP\u00d70.65 med, SL\u00d70.65 med"", ""resolved_tp_win_rate_pct"": ""85.71"", ""meets_target"": true, ""meets_min_tpsl_pct_profile"": false, ""trades_entered_last_48h_count"": 7, ""resolved_count"": 7, ""tp_median_multiplier"": ""0.65"", ""sl_median_multiplier"": ""0.65"", ""target_tp_win_rate_pct"": ""80.00""}}, ""hold_time_exit_done"": true, ""hold_time_exit_reason"": ""time_exit_placed""}"
336,bt-b9b16f532d7b40839ab3d426,2056216254729764864,RECALLUSDT,SELL,MARKET,182.681700000000,,50,NEW,false,"{""code"": 0, ""data"": {""orderId"": ""2056216254729764864"", ""clientId"": ""bt-b9b16f532d7b40839ab3d426""}, ""msg"": ""Success"", ""positionTpSl"": {""code"": 0, ""data"": {""orderId"": ""6617728118795599152"", ""clientId"": null}, ""msg"": ""Success""}, ""tpsl_mode"": ""position_full""}",2026-05-18 03:31:09.755970 +00:00,2026-05-18 09:09:34.207897 +00:00,top_signal_entries,"{""strategy"": ""top_signal_entries"", ""signal_reason"": ""short_breakdown_confirm"", ""change_pct_24h"": ""-17.69658697940159374530145843"", ""tp_source"": ""walk_forward_recommendation"", ""tp_move_pct"": ""2.7512"", ""sl_move_pct"": ""2.7512"", ""hold_window_optimization_enabled"": true, ""hold_profit_threshold_pct"": ""15"", ""hold_window_minutes"": 30, ""walk_forward"": {""gate_source"": ""grid_meets_target"", ""prediction_reason"": ""clean_legs_down_majority"", ""target_tp_win_rate_pct"": ""80.00"", ""variation"": {""rank"": 0, ""label"": ""TP\u00d70.65 med, SL\u00d70.65 med"", ""resolved_tp_win_rate_pct"": ""84.62"", ""meets_target"": true, ""meets_min_tpsl_pct_profile"": false, ""trades_entered_last_48h_count"": 13, ""resolved_count"": 13, ""tp_median_multiplier"": ""0.65"", ""sl_median_multiplier"": ""0.65"", ""target_tp_win_rate_pct"": ""80.00""}}, ""hold_time_exit_done"": true, ""hold_time_exit_reason"": ""position_not_on_exchange""}"
116,bt-edff0e5c84384d18bcd87058,2056193562366574592,1000CHEEMSUSDT,SELL,MARKET,25058.469700000000,,75,NEW,true,"{""code"": 0, ""data"": {""orderId"": ""2056193562366574592"", ""clientId"": ""bt-edff0e5c84384d18bcd87058""}, ""msg"": ""Success""}",2026-05-18 02:02:01.233268 +00:00,2026-05-18 02:02:01.233268 +00:00,top_signal_entries,"{""hold_time_exit"": true, ""hold_window_minutes"": 45, ""source_open_client_order_id"": ""bt-46f062fb73db4b98a0d0bd45""}"
115,bt-ce63aec2d45b473e805f6272,2056193480309170176,1000CHEEMSUSDT,SELL,MARKET,26091.494100000000,,75,NEW,false,"{""code"": 0, ""data"": {""orderId"": ""2056193480309170176"", ""clientId"": ""bt-ce63aec2d45b473e805f6272""}, ""msg"": ""Success"", ""positionTpSl"": {""code"": 0, ""data"": {""orderId"": ""7958699019083419826"", ""clientId"": null}, ""msg"": ""Success""}, ""tpsl_mode"": ""position_full""}",2026-05-18 02:00:09.730600 +00:00,2026-05-18 06:02:44.884511 +00:00,top_signal_entries,"{""strategy"": ""top_signal_entries"", ""signal_reason"": ""short_breakdown_confirm"", ""change_pct_24h"": ""-6.535522679239148105999024549"", ""tp_source"": ""walk_forward_recommendation"", ""tp_move_pct"": ""0.9472"", ""sl_move_pct"": ""0.9472"", ""hold_window_optimization_enabled"": true, ""hold_profit_threshold_pct"": ""15"", ""hold_window_minutes"": 55, ""walk_forward"": {""gate_source"": ""grid_meets_target"", ""prediction_reason"": ""clean_legs_down_majority"", ""target_tp_win_rate_pct"": ""80.00"", ""variation"": {""rank"": 31, ""label"": ""TP\u00d70.5 med, SL\u00d70.5 med"", ""resolved_tp_win_rate_pct"": ""80.00"", ""meets_target"": true, ""meets_min_tpsl_pct_profile"": false, ""trades_entered_last_48h_count"": 10, ""resolved_count"": 10, ""tp_median_multiplier"": ""0.5"", ""sl_median_multiplier"": ""0.5"", ""target_tp_win_rate_pct"": ""80.00""}}, ""hold_time_exit_done"": true, ""hold_time_exit_reason"": ""time_exit_placed""}"
3,bt-97b75fc59ff64275ad50a164,2056171200208228352,KGENUSDT,SELL,MARKET,47.382100000000,,50,NEW,false,"{""code"": 0, ""data"": {""orderId"": ""2056171200208228352"", ""clientId"": ""bt-97b75fc59ff64275ad50a164""}, ""msg"": ""Success"", ""positionTpSl"": {""code"": 0, ""data"": {""orderId"": ""5607951783210009818"", ""clientId"": null}, ""msg"": ""Success""}, ""tpsl_mode"": ""position_full""}",2026-05-18 00:32:09.253358 +00:00,2026-05-18 09:09:34.207897 +00:00,top_signal_entries,"{""strategy"": ""top_signal_entries"", ""signal_reason"": ""short_breakdown_confirm"", ""change_pct_24h"": ""-12.03684407952319426499395657"", ""tp_source"": ""walk_forward_recommendation"", ""tp_move_pct"": ""2.4965"", ""sl_move_pct"": ""2.4965"", ""hold_window_optimization_enabled"": true, ""hold_profit_threshold_pct"": ""15"", ""hold_window_minutes"": 30, ""walk_forward"": {""gate_source"": ""grid_meets_target"", ""prediction_reason"": ""clean_legs_down_majority"", ""target_tp_win_rate_pct"": ""80.00"", ""variation"": {""rank"": 0, ""label"": ""TP\u00d70.65 med, SL\u00d70.65 med"", ""resolved_tp_win_rate_pct"": ""85.71"", ""meets_target"": true, ""meets_min_tpsl_pct_profile"": false, ""trades_entered_last_48h_count"": 7, ""resolved_count"": 7, ""tp_median_multiplier"": ""0.65"", ""sl_median_multiplier"": ""0.65"", ""target_tp_win_rate_pct"": ""80.00""}}, ""hold_time_exit_done"": true, ""hold_time_exit_reason"": ""position_not_on_exchange""}"
2,bt-46f062fb73db4b98a0d0bd45,2056133346316910592,1000CHEEMSUSDT,SELL,MARKET,25058.469700000000,,75,NEW,false,"{""code"": 0, ""data"": {""orderId"": ""2056133346316910592"", ""clientId"": ""bt-46f062fb73db4b98a0d0bd45""}, ""msg"": ""Success"", ""positionTpSl"": {""code"": 0, ""data"": {""orderId"": ""6653648971068865949"", ""clientId"": null}, ""msg"": ""Success""}, ""tpsl_mode"": ""position_full""}",2026-05-17 21:59:50.754455 +00:00,2026-05-18 02:02:02.900019 +00:00,top_signal_entries,"{""strategy"": ""top_signal_entries"", ""signal_reason"": ""short_breakdown_confirm"", ""change_pct_24h"": ""-2.365030174522916326863480672"", ""tp_source"": ""walk_forward_recommendation"", ""tp_move_pct"": ""0.9472"", ""sl_move_pct"": ""0.9472"", ""hold_window_optimization_enabled"": true, ""hold_profit_threshold_pct"": ""15"", ""hold_window_minutes"": 45, ""walk_forward"": {""gate_source"": ""grid_meets_target"", ""prediction_reason"": ""clean_legs_down_majority"", ""target_tp_win_rate_pct"": ""80.00"", ""variation"": {""rank"": 24, ""label"": ""TP\u00d70.5 med, SL\u00d70.5 med"", ""resolved_tp_win_rate_pct"": ""80.00"", ""meets_target"": true, ""meets_min_tpsl_pct_profile"": false, ""trades_entered_last_48h_count"": 10, ""resolved_count"": 10, ""tp_median_multiplier"": ""0.5"", ""sl_median_multiplier"": ""0.5"", ""target_tp_win_rate_pct"": ""80.00""}}, ""hold_time_exit_done"": true, ""hold_time_exit_reason"": ""time_exit_placed""}"
